#{"t_start": 1772323696.7707138, "env_id": "None"}
r,l,t,termination_reason
255.596601,95,94.883499,success
255.226276,87,95.024173,success
256.443173,87,95.178883,success
260.04944,88,95.323896,success
258.077844,90,95.630361,success
255.014225,87,95.77262,success
258.013309,86,95.909336,success
255.568508,93,96.057166,success
259.325649,88,96.198771,success
255.150872,91,96.348074,success
253.360962,88,96.663173,success
256.363225,86,96.800591,success
256.756132,87,96.938539,success
257.885255,86,97.077425,success
258.233863,88,97.221301,success
258.194466,87,97.360685,success
255.547962,88,97.669208,success
258.600723,84,97.801237,success
259.541285,85,97.938261,success
259.386659,86,98.079329,success
257.782133,85,98.216535,success
256.097555,84,98.349793,success
255.956648,86,98.652514,success
259.292871,82,98.784588,success
258.42911,84,98.922884,success
256.250361,85,99.070103,success
256.282677,84,99.206124,success
260.847649,83,99.33873,success
256.583852,86,99.654956,success
259.551136,87,99.809306,success
260.07308,86,99.958754,success
252.257803,87,100.098504,success
257.279194,82,100.23039,success
257.452617,84,100.37041,success
256.092081,82,100.673712,success
258.49824,84,100.811424,success
261.823479,81,100.943549,success
258.078792,84,101.080478,success
259.875785,81,101.213804,success
258.393587,84,101.348452,success
258.678655,81,101.648968,success
257.60253,82,101.779708,success
259.531265,80,101.908276,success
258.542843,79,102.033983,success
259.000641,81,102.164314,success
261.707726,80,102.298063,success
260.381007,80,102.604018,success
262.470204,80,102.731291,success
260.718,80,102.857939,success
260.892367,80,102.984057,success
258.56215,81,103.114348,success
263.81909,81,103.242981,success
260.645797,79,103.373968,success
263.218791,79,103.666208,success
263.806464,78,103.791053,success
260.12103,81,103.921286,success
263.06509,80,104.048576,success
262.340912,80,104.175193,success
257.259546,79,104.302236,success
262.61068,79,104.592781,success
261.538462,79,104.715626,success
262.151235,80,104.843695,success
256.89055,82,104.975341,success
257.030403,83,105.108053,success
260.808551,78,105.234921,success
261.257669,78,105.522779,success
257.78109,79,105.648231,success
259.725945,80,105.77371,success
259.164667,80,105.902637,success
258.142295,80,106.030776,success
259.131341,79,106.156372,success
262.141712,79,106.281596,success
260.513532,78,106.566724,success
256.41713,81,106.696619,success
263.248591,80,106.829702,success
260.298464,78,106.953272,success
261.028658,79,107.081785,success
259.381296,80,107.211061,success
263.0459,77,107.495641,success
265.56542,77,107.618258,success
261.757562,77,107.740191,success
258.662677,78,107.865617,success
261.809944,77,107.990232,success
262.70668,77,108.113242,success
262.585313,76,108.232537,success
263.978071,76,108.519799,success
260.213256,77,108.639097,success
264.608537,76,108.758107,success
263.609844,75,108.87868,success
260.510569,79,109.025702,success
261.313337,78,109.148746,success
263.044653,74,109.264233,success
263.86973,75,109.551557,success
263.985256,76,109.671192,success
263.241412,76,109.791495,success
261.025377,74,109.90945,success
262.572026,75,110.029025,success
261.586301,78,110.150863,success
260.844817,78,110.440531,success
260.885293,75,110.565469,success
260.919795,78,110.744208,success
263.68006,76,110.86937,success
262.356514,74,110.988925,success
255.422345,79,111.115628,success
263.497159,75,111.238998,success
259.720392,77,111.53424,success
266.073235,74,111.650916,success
260.098461,74,111.769129,success
262.032108,78,111.896124,success
261.205656,75,112.014058,success
260.409881,76,112.135696,success
260.461964,75,112.256483,success
263.488183,75,112.544867,success
262.707314,75,112.664723,success
263.261199,75,112.784342,success
